Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/04/03;163;21;37;20;29;10;3;4;1;6;7;9;1;1;8;3;0;2;1;0;
2020/04/04;114;10;17;10;17;19;1;1;1;3;1;8;2;0;15;7;0;1;1;0;
2020/04/05;68;8;8;3;12;6;1;1;2;0;0;2;0;0;19;6;0;0;0;0;
2020/04/06;148;14;27;34;12;10;2;1;6;2;4;0;5;0;20;9;0;2;0;0;
2020/04/07;143;17;17;26;32;9;3;1;2;1;8;6;4;0;9;5;0;2;1;0;
2020/04/08;149;21;29;8;28;11;3;1;2;1;6;8;5;0;19;6;0;1;0;0;
2020/04/09;122;20;20;20;30;6;0;1;4;1;1;4;2;0;9;3;0;0;0;1;
2020/04/10;132;11;19;20;28;13;1;0;4;2;4;6;6;0;8;9;0;1;0;0;
2020/04/11;80;11;12;16;7;9;1;1;2;4;2;2;2;0;9;2;0;0;0;0;
2020/04/12;54;7;8;9;13;2;2;0;1;0;1;0;2;0;7;1;0;1;0;0;
2020/04/13;68;7;9;9;13;3;1;2;3;0;2;6;4;0;7;1;0;1;0;0;
2020/04/14;106;13;18;14;19;4;0;1;5;1;3;4;7;0;11;1;0;4;1;0;
2020/04/15;85;13;13;16;16;3;2;0;2;0;1;3;1;0;11;2;0;2;0;0;
2020/04/16;93;11;14;14;15;7;1;0;3;0;2;1;6;0;13;5;0;0;1;0;
2020/04/17;63;13;9;7;10;2;1;2;0;1;1;2;1;0;8;4;0;0;1;1;
2020/04/18;38;3;8;2;10;7;0;0;0;0;1;1;0;0;3;2;0;0;0;1;
2020/04/19;38;5;6;4;4;1;1;0;5;0;3;2;0;0;6;1;0;0;0;0;
2020/04/20;62;9;12;5;9;4;1;0;3;0;4;1;1;0;10;1;1;0;1;0;
