Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/04/25;19;3;3;6;2;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;
2020/04/26;12;2;1;1;3;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;
2020/04/27;83;13;12;9;13;5;4;0;3;0;1;6;3;1;12;1;0;0;0;0;
2020/04/28;62;0;7;12;9;7;0;1;2;0;2;2;3;0;9;6;1;0;1;0;
2020/04/29;76;13;6;13;13;3;2;0;1;0;3;4;5;0;9;4;0;0;0;0;
2020/04/30;102;22;18;20;4;6;2;1;4;0;0;5;3;0;13;4;0;0;0;0;
2020/05/01;18;2;4;2;3;1;1;0;0;0;1;1;0;0;2;1;0;0;0;0;
2020/05/02;20;3;7;1;2;2;0;0;0;0;2;0;0;0;3;0;0;0;0;0;
2020/05/03;16;2;2;3;4;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;
2020/05/04;83;20;9;10;12;8;0;1;3;0;2;1;3;0;12;2;0;0;0;0;
2020/05/05;69;17;3;14;7;11;1;0;1;3;1;1;1;0;3;6;0;0;0;0;
2020/05/06;68;10;12;10;11;7;1;2;1;0;4;2;2;0;2;2;0;1;1;0;
2020/05/07;66;9;15;8;9;5;2;0;4;2;2;1;2;0;6;1;0;0;0;0;
2020/05/08;89;27;9;8;15;3;2;0;3;1;3;0;6;0;7;4;0;0;1;0;
2020/05/09;18;6;2;3;2;0;0;0;0;1;1;0;1;0;0;2;0;0;0;0;
2020/05/10;11;3;0;1;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;
2020/05/11;50;10;16;7;10;2;0;0;0;1;0;1;1;0;2;0;0;0;0;0;
2020/05/12;66;13;11;6;7;5;4;0;1;1;0;0;1;0;10;5;0;0;2;0;
2020/05/13;60;12;16;5;5;5;3;2;0;1;0;0;0;2;6;3;0;0;0;0;
2020/05/14;52;10;9;7;11;3;0;1;2;0;1;1;0;1;6;0;0;0;0;0;
2020/05/15;83;13;10;13;12;7;1;0;2;0;1;2;3;2;8;7;0;1;1;0;
2020/05/16;25;4;5;3;4;2;0;0;1;1;0;1;0;0;3;1;0;0;0;0;
2020/05/17;4;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2020/05/18;58;12;7;7;12;10;4;0;0;2;0;1;2;0;1;0;0;0;0;0;
2020/05/19;54;7;10;10;9;3;1;1;2;2;0;0;1;1;5;1;0;0;1;0;
2020/05/20;54;14;4;9;7;3;1;1;1;2;2;1;1;0;5;2;0;0;1;0;
2020/05/21;50;12;5;8;3;4;2;1;0;3;1;0;0;0;5;4;0;2;0;0;
2020/05/22;52;10;8;6;6;5;0;1;4;1;2;1;1;0;3;4;0;0;0;0;
2020/05/23;14;3;2;3;2;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;
2020/05/24;11;3;0;2;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;
2020/05/25;54;12;10;10;7;2;1;1;2;0;3;1;0;0;5;0;0;0;0;0;
2020/05/26;51;12;7;2;5;7;1;0;4;1;0;0;1;0;8;1;0;0;2;0;
2020/05/27;53;12;8;5;7;7;3;1;2;0;1;3;0;0;3;1;0;0;0;0;
2020/05/28;68;14;11;13;16;4;0;0;1;0;0;1;2;0;4;2;0;0;0;0;
2020/05/29;68;14;7;15;10;3;1;1;1;1;2;3;1;0;4;4;0;0;1;0;
2020/05/30;23;7;0;7;4;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;
2020/05/31;5;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2020/06/01;40;9;10;6;6;4;1;2;0;0;0;0;0;0;2;0;0;0;0;0;
2020/06/02;47;5;12;4;9;2;0;2;1;1;1;1;3;0;2;3;0;0;1;0;
2020/06/03;39;6;7;3;8;6;0;1;1;1;0;4;0;0;2;0;0;0;0;0;
2020/06/04;56;11;6;10;9;4;4;1;2;0;1;0;1;0;3;3;0;1;0;0;
2020/06/05;62;13;7;10;11;7;1;1;0;1;1;3;0;0;4;2;0;;1;0;
2020/06/06;24;3;5;4;4;4;0;1;0;0;1;1;0;1;0;0;0;;0;0;
2020/06/07;11;1;3;4;1;0;0;0;0;0;0;0;0;0;1;1;0;;0;0;
2020/06/08;38;4;9;7;8;0;2;0;1;1;2;0;0;0;3;1;0;;0;0;
2020/06/09;42;3;7;8;8;5;1;1;0;0;2;1;0;1;2;2;0;;1;0;
2020/06/10;51;12;4;5;9;3;1;1;1;3;3;0;2;1;5;0;0;;1;0;
2020/06/11;44;4;7;4;11;5;1;0;1;1;1;2;0;0;5;2;0;;0;0;
2020/06/12;45;6;8;6;7;5;1;0;0;2;2;1;0;1;4;2;0;;0;0;
2020/06/13;15;2;1;1;2;2;1;1;0;3;0;0;0;0;2;0;0;;0;0;
2020/06/14;8;2;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;;1;0;
2020/06/15;32;7;3;5;8;0;1;1;1;0;1;1;0;0;3;0;0;;0;1;
2020/06/16;37;9;5;6;7;3;1;0;0;1;1;1;1;0;2;0;0;;0;0;
2020/06/17;42;7;9;4;4;5;1;2;2;0;0;5;0;0;2;0;0;;1;0;
2020/06/18;37;5;3;11;5;3;2;0;1;2;1;2;1;0;0;1;0;;0;0;
2020/06/19;51;11;8;8;10;0;2;1;0;1;2;2;0;0;3;2;0;;1;0;
2020/06/20;21;5;4;1;7;2;0;;1;0;0;0;0;0;1;0;0;;0;0;
2020/06/21;5;2;0;0;1;0;0;;0;0;0;2;0;0;0;0;0;;0;0;
2020/06/22;31;4;10;3;2;4;1;0;0;1;2;0;0;0;2;1;0;;1;0;
2020/06/23;39;7;9;6;6;6;0;0;0;1;0;1;0;0;2;0;0;;1;0;
2020/06/24;33;6;4;5;6;7;1;1;0;1;0;0;0;0;1;1;0;;0;0;
2020/06/25;47;12;9;9;8;2;2;0;2;0;1;0;0;0;2;0;0;;0;0;
2020/06/26;65;15;12;8;15;6;0;1;0;0;2;4;0;0;2;0;0;;0;0;
2020/06/27;14;1;3;2;3;2;0;0;2;0;0;1;0;0;0;0;0;;0;0;
2020/06/28;6;0;0;2;0;2;0;0;0;0;1;0;0;0;0;1;0;;0;0;
2020/06/29;42;8;4;5;11;0;1;1;3;2;0;2;1;0;3;0;0;;1;0;
2020/06/30;37;13;5;7;4;1;1;;2;1;0;0;0;0;2;1;0;;0;0;
2020/07/01;41;8;8;6;5;4;0;;2;0;0;1;1;1;3;1;0;;1;0;
2020/07/02;30;3;4;8;3;3;1;0;0;3;1;1;0;0;0;3;0;;0;0;
2020/07/03;43;14;5;6;6;3;0;0;2;1;0;3;0;0;1;2;0;;0;0;
2020/07/04;13;2;4;3;1;0;1;0;0;0;1;0;0;0;1;0;0;;0;0;
2020/07/05;5;1;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;;0;0;
2020/07/06;34;7;4;4;6;3;0;0;0;1;3;1;0;1;4;0;0;;0;0;
2020/07/07;39;3;5;8;4;2;2;1;2;3;1;1;1;0;2;2;0;;1;1;
2020/07/08;36;8;10;4;5;2;2;0;0;0;1;0;0;0;1;2;0;;1;0;
2020/07/09;45;7;12;5;4;1;2;1;2;1;1;3;1;0;3;2;0;;0;0;
2020/07/10;42;5;10;7;9;0;2;0;0;0;0;1;0;0;7;0;0;;1;0;
2020/07/11;11;5;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;;0;0;
2020/07/12;7;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;;0;0;
2020/07/13;39;3;11;10;7;1;2;0;1;2;0;0;0;0;1;0;0;;1;0;
2020/07/14;38;8;8;6;6;1;2;0;2;1;2;0;0;0;1;0;0;;1;0;
2020/07/15;36;6;6;7;5;5;1;0;1;0;0;1;0;1;1;0;0;;2;0;
2020/07/16;45;9;11;6;4;7;1;1;1;0;0;1;2;0;1;0;0;;1;0;
2020/07/17;54;13;10;12;5;2;0;1;0;3;0;2;0;0;4;2;0;;0;0;
2020/07/18;16;3;2;6;2;0;0;0;1;;1;1;0;0;0;0;0;;0;0;
2020/07/19;5;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;0;0;
2020/07/20;25;2;8;4;5;2;0;0;1;0;0;2;0;0;0;0;0;;1;0;
2020/07/21;37;4;7;4;8;3;3;2;0;1;1;0;0;0;3;0;0;;1;0;
2020/07/22;32;7;7;10;1;0;0;0;1;2;1;1;0;1;1;0;0;;0;0;
2020/07/23;27;4;6;6;9;0;0;1;0;0;0;1;0;0;0;0;0;;0;0;
2020/07/24;45;10;11;4;6;5;0;0;0;0;3;0;0;0;4;2;0;;0;0;
2020/07/25;13;0;2;2;4;1;0;0;1;1;2;0;0;0;0;0;0;;0;0;
2020/07/26;6;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;;0;0;
2020/07/27;41;5;10;2;10;6;1;1;0;1;0;0;0;0;3;1;0;;1;0;
2020/07/28;46;13;5;8;9;4;0;0;2;0;2;2;0;0;0;0;0;;0;1;
2020/07/29;30;3;4;11;6;1;0;1;2;0;0;1;0;0;1;0;0;;0;0;
2020/07/30;40;6;7;5;7;5;1;0;1;0;1;1;0;0;4;2;0;;0;0;
2020/07/31;20;7;2;6;2;0;0;0;1;0;0;1;0;0;1;0;0;;0;0;
2020/08/01;24;5;5;1;3;4;0;0;3;2;0;0;0;0;1;0;0;;0;0;
2020/08/02;11;2;3;4;0;0;1;0;1;0;0;0;0;0;0;0;0;;0;0;
2020/08/03;30;3;6;4;8;1;1;1;0;2;1;0;0;0;2;0;0;;1;0;
2020/08/04;59;15;12;3;11;3;1;0;4;0;2;1;0;0;6;1;0;;0;0;
2020/08/05;36;0;4;7;10;4;1;1;1;2;4;0;0;0;1;0;0;0;1;0;
2020/08/06;54;10;6;10;12;4;0;1;1;;3;2;0;0;5;0;0;0;0;0;
2020/08/07;54;11;12;6;11;3;2;0;2;1;0;0;1;0;4;1;0;0;0;0;
2020/08/08;20;0;5;1;6;2;2;0;1;0;1;0;0;0;2;0;0;0;0;0;
2020/08/09;14;5;0;4;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;
2020/08/10;45;8;7;7;10;2;0;0;2;1;2;2;0;0;3;0;0;0;1;0;
2020/08/11;54;8;7;7;11;10;0;0;1;1;1;1;0;1;3;1;0;0;1;1;
2020/08/12;48;10;8;5;9;5;0;1;1;0;0;1;0;2;2;2;0;0;2;0;
2020/08/13;53;8;9;8;13;1;1;1;5;0;1;1;1;0;2;1;0;0;1;0;
2020/08/14;82;17;11;10;17;7;2;0;6;1;3;1;0;0;6;1;0;0;0;0;
2020/08/15;12;1;3;2;2;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;
2020/08/16;9;2;0;2;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;
2020/08/17;45;9;8;4;8;4;3;0;1;0;0;1;0;1;5;0;0;0;1;0;
2020/08/18;53;12;7;7;11;6;1;0;2;0;1;0;0;0;6;0;0;0;0;0;
2020/08/19;62;13;5;13;14;5;2;2;2;0;2;0;0;0;1;1;0;0;2;0;
2020/08/20;79;14;16;15;22;4;0;1;2;0;1;0;0;0;3;0;0;0;1;0;
2020/08/21;65;11;15;7;14;3;4;1;1;0;3;0;0;1;5;0;0;0;0;0;
2020/08/22;22;4;5;4;4;2;1;;0;0;0;0;0;0;1;1;0;0;0;0;
2020/08/23;13;2;0;4;2;1;0;;2;0;1;1;0;0;0;0;0;0;0;0;
2020/08/24;62;10;21;6;14;4;1;0;2;2;0;0;0;0;2;0;0;0;0;0;
2020/08/25;58;11;13;5;14;5;1;0;4;0;0;1;0;0;4;0;0;0;0;0;
2020/08/26;64;14;13;9;10;6;2;0;1;3;1;0;0;0;4;1;0;0;0;0;
2020/08/27;62;5;9;8;17;7;0;0;0;3;2;0;0;0;9;1;0;0;1;0;
2020/08/28;47;14;2;8;2;7;3;2;1;1;1;2;1;0;3;0;0;0;0;0;
2020/08/29;31;7;4;4;5;4;2;0;0;2;0;0;0;1;2;0;0;0;0;0;
2020/08/30;10;3;1;4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
2020/08/31;78;7;17;15;19;3;1;2;3;0;3;0;0;0;6;1;0;0;1;0;
2020/09/01;80;15;8;17;14;10;2;1;3;1;1;0;0;0;8;0;0;0;0;0;
2020/09/02;80;16;16;8;16;5;3;1;1;2;1;3;0;1;7;0;0;0;0;0;
2020/09/03;79;12;9;15;22;9;0;1;0;1;1;0;0;0;7;0;0;0;2;0;
2020/09/04;104;24;18;15;19;2;1;1;4;3;2;0;0;0;13;2;0;0;0;0;
2020/09/05;29;8;5;6;2;3;0;0;0;1;0;0;0;0;4;0;0;0;0;0;
2020/09/06;17;4;0;2;4;0;0;0;0;0;1;0;0;0;5;0;0;0;0;1;
2020/09/07;104;16;19;23;18;6;5;5;1;1;2;1;0;0;5;1;0;0;1;0;
2020/09/08;77;19;14;16;11;6;1;0;1;0;2;1;0;0;6;0;0;0;0;0;
2020/09/09;83;15;15;21;14;5;0;0;2;0;3;1;0;1;4;0;0;1;1;0;
2020/09/10;79;20;23;9;12;5;3;1;1;0;0;0;0;0;5;0;0;;0;0;
2020/09/11;97;14;17;18;18;4;4;0;1;2;2;2;0;0;10;2;0;;2;1;
2020/09/12;33;6;5;6;5;2;2;0;2;2;0;0;0;0;3;0;0;;0;0;
2020/09/13;22;2;0;4;4;3;1;1;2;2;1;0;0;0;1;0;0;;1;0;
2020/09/14;94;7;21;27;16;2;2;3;2;3;2;0;1;0;8;0;0;;0;0;
2020/09/15;81;8;15;22;16;11;1;1;0;1;5;0;0;0;1;0;0;;0;0;
2020/09/16;88;12;15;22;8;10;1;4;1;1;0;1;0;0;10;2;0;;1;0;
2020/09/17;93;14;21;12;9;4;7;0;3;3;2;2;0;0;16;0;0;;0;0;
2020/09/18;95;15;17;20;11;6;2;5;7;0;1;1;3;0;6;0;0;;1;0;
2020/09/19;33;7;3;7;3;4;0;0;1;2;0;0;0;0;6;0;0;;0;0;
2020/09/20;20;1;4;9;1;0;0;1;2;0;2;0;0;0;0;0;0;;0;0;
2020/09/21;89;11;18;19;12;7;1;2;2;4;0;1;1;0;11;0;0;;0;0;
2020/09/22;71;5;14;8;14;7;1;1;1;2;2;4;0;0;12;0;0;0;0;0;
2020/09/23;77;12;16;11;3;9;3;3;2;4;3;1;0;0;10;0;0;0;0;0;
2020/09/24;75;9;15;11;9;8;3;1;1;3;3;1;1;0;9;1;0;0;0;0;
2020/09/25;92;15;20;10;10;5;5;3;3;1;1;3;0;0;14;1;0;0;1;0;
2020/09/26;33;4;5;6;9;4;2;0;0;1;2;0;0;0;0;0;0;0;0;0;
2020/09/27;9;3;0;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;
2020/09/28;73;12;16;10;16;4;3;3;3;2;2;1;0;0;1;0;0;0;0;0;
2020/09/29;80;14;14;12;8;5;3;6;5;2;3;1;0;0;4;3;0;0;0;0;
2020/09/30;62;13;7;10;5;5;4;2;1;3;0;0;0;0;11;1;0;0;0;0;
2020/10/01;73;7;13;11;15;4;4;0;2;3;2;0;2;0;8;1;0;0;1;0;
2020/10/02;101;16;25;15;15;6;2;2;4;0;3;2;0;0;10;0;0;0;1;0;
2020/10/03;35;6;5;10;5;2;2;0;1;2;0;0;0;0;2;0;0;0;0;0;
2020/10/04;16;2;5;7;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;
2020/10/05;60;10;12;12;6;6;2;0;2;3;2;0;0;0;4;0;0;1;0;0;
2020/10/06;75;16;15;10;13;4;1;1;1;3;2;2;0;0;6;1;0;;0;0;
2020/10/07;63;15;12;14;6;6;1;0;3;0;1;2;1;0;1;0;0;;1;0;
2020/10/08;77;16;20;10;9;8;3;0;3;2;1;3;0;0;1;1;0;;0;0;
2020/10/09;116;19;19;15;15;11;5;2;3;5;7;2;2;0;7;3;0;;1;0;
2020/10/10;37;10;3;12;4;3;4;0;0;0;0;0;0;0;1;0;0;;0;0;
2020/10/11;17;4;4;5;2;0;0;0;0;0;0;0;1;0;1;0;0;;0;0;
2020/10/12;20;1;4;4;3;3;0;0;0;1;2;1;0;0;1;0;0;;0;0;
2020/10/13;71;13;7;17;12;6;2;2;1;3;0;2;0;1;4;1;0;;0;0;
2020/10/14;61;11;13;13;10;4;3;2;1;0;0;2;1;0;0;0;0;;1;0;
2020/10/15;89;12;12;14;16;7;8;2;4;1;3;0;0;1;7;1;0;;0;1;
2020/10/16;97;18;14;18;10;6;8;3;1;3;1;4;0;0;8;2;0;0;1;0;
2020/10/17;33;5;2;7;2;4;5;1;1;0;1;2;0;0;3;0;0;0;0;0;
2020/10/18;23;2;2;7;3;2;0;1;0;0;0;0;1;0;5;0;0;0;0;0;
2020/10/19;74;8;16;15;9;11;4;0;2;0;2;0;2;0;5;0;0;0;0;0;
2020/10/20;63;6;12;12;9;11;4;1;0;0;1;2;1;0;4;0;0;0;0;0;
2020/10/21;87;12;16;19;12;10;1;2;5;2;0;3;0;0;4;1;0;0;0;0;
2020/10/22;95;13;7;30;13;2;4;1;7;3;1;2;1;0;10;1;0;0;0;0;
2020/10/23;98;18;14;11;16;11;7;0;5;1;0;3;0;0;8;3;0;0;1;0;
2020/10/24;39;6;9;7;2;5;3;1;2;0;1;1;0;0;2;0;0;0;0;0;
2020/10/25;18;3;2;5;1;0;4;0;2;0;0;0;0;0;1;0;0;0;0;0;
2020/10/26;99;10;20;23;15;8;6;1;5;1;1;3;1;0;5;0;0;0;0;0;
2020/10/27;107;14;9;16;14;18;8;2;8;3;3;5;1;0;6;0;0;0;0;0;
2020/10/28;120;18;22;15;20;13;8;1;6;4;5;2;3;0;3;0;0;0;0;0;
2020/10/29;95;11;17;26;13;7;1;5;4;2;1;1;1;0;4;1;0;0;1;0;
2020/10/30;122;14;23;24;15;10;7;3;7;2;3;1;2;0;8;2;0;0;1;0;
2020/10/31;42;6;2;19;3;1;0;1;4;0;1;0;1;0;0;4;0;0;0;0;
2020/11/01;24;4;1;12;0;1;2;0;1;1;0;2;0;0;0;0;0;0;0;0;
2020/11/02;128;15;24;29;14;12;7;5;5;2;5;0;0;1;2;5;0;0;2;0;
2020/11/03;121;15;18;35;10;6;9;1;8;3;0;3;2;1;8;2;0;0;0;0;
2020/11/04;109;11;14;22;12;12;5;3;5;5;2;4;4;1;5;4;0;0;0;0;
2020/11/05;131;19;23;31;14;17;5;2;1;5;1;1;1;0;6;4;0;0;1;0;
2020/11/06;144;11;32;31;25;8;6;2;5;1;4;2;2;1;7;7;0;0;0;0;
2020/11/07;57;4;7;17;8;10;2;0;1;0;0;2;0;0;2;4;0;0;0;0;
2020/11/08;31;4;1;14;3;1;0;1;1;0;0;0;0;0;1;5;0;0;0;0;
2020/11/09;128;15;27;13;23;14;8;7;5;0;4;4;1;0;5;1;0;0;1;0;
2020/11/10;131;20;18;25;17;13;4;3;2;6;9;3;0;0;6;5;0;0;0;0;
2020/11/11;127;11;19;27;16;11;9;4;7;1;8;2;4;0;7;1;0;0;0;0;
2020/11/12;94;15;13;18;16;2;6;3;3;3;6;1;1;0;5;1;0;0;1;0;
2020/11/13;159;21;27;28;23;14;5;6;6;5;7;5;1;0;9;2;0;0;0;0;
2020/11/14;54;2;6;15;7;4;0;1;7;2;2;1;3;0;2;2;0;0;0;0;
2020/11/15;34;2;3;15;1;1;3;0;3;0;0;0;0;0;5;1;0;0;0;0;
2020/11/16;126;18;18;19;19;9;9;9;4;4;7;5;0;0;5;0;0;0;0;0;
2020/11/17;123;22;18;23;17;13;5;2;7;7;3;2;1;0;3;0;0;0;0;0;
2020/11/18;98;13;15;18;18;9;6;4;3;2;1;4;1;0;4;0;0;0;0;0;
2020/11/19;110;14;15;24;16;5;7;5;3;5;3;5;1;0;6;1;0;0;0;0;
2020/11/20;139;21;23;17;22;9;8;2;5;6;6;7;1;0;9;1;0;0;1;1;
2020/11/21;38;4;1;12;3;5;2;2;1;1;4;0;1;0;2;0;0;0;0;0;
2020/11/22;23;3;0;12;1;0;0;0;1;2;1;0;1;0;2;0;0;0;0;0;
2020/11/23;119;18;20;23;18;9;3;5;6;6;2;0;1;0;8;0;0;0;0;0;
2020/11/24;98;7;13;35;9;8;1;3;8;3;3;0;1;0;7;0;0;0;0;0;
2020/11/25;109;11;16;30;5;12;6;1;5;2;2;8;1;1;9;0;0;0;0;0;
2020/11/26;85;14;4;17;19;8;2;2;1;2;0;5;2;0;7;0;0;0;2;0;
2020/11/27;124;24;17;15;17;6;6;2;6;4;2;3;3;0;17;1;0;0;1;0;
2020/11/28;34;4;4;10;7;2;0;0;0;1;2;3;0;0;0;1;0;0;0;0;
2020/11/29;23;3;1;8;2;1;0;1;1;1;1;1;0;0;3;0;0;0;0;0;
2020/11/30;108;16;13;18;16;6;6;8;6;3;3;3;2;0;7;1;0;0;0;0;
2020/12/01;88;13;18;13;18;4;4;1;3;2;4;3;0;1;4;0;0;0;0;0;
