2021/04/11(Ultima actualización / Azken eguneratzea);
Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad;
ZALDIBIA;273;1658;16465,6;1;0,4;;;;
ZALDUONDO;8;197;4060,9;0;0,0;;;;
ZALLA;476;8441;5639,1;7;1,5;;;;
ZAMBRANA;28;446;6278,0;1;3,6;;;;
ZAMUDIO;320;3313;9658,9;25;7,8;;;;
ZARATAMO;98;1647;5950,2;2;2,0;;;;
ZARAUTZ;1650;23347;7067,3;33;2,0;;;;
ZEANURI;57;1254;4545,5;0;0,0;;;;
ZEBERIO;75;1084;6918,8;8;10,7;;;;
ZEGAMA;174;1521;11439,8;2;1,1;;;;
ZESTOA;321;3894;8243,5;0;0,0;;;;
ZIERBENA;85;1524;5577,4;1;1,2;;;;
ZIGOITIA;109;1707;6385,5;2;1,8;;;;
ZIORTZA-BOLIBAR;28;439;6378,1;0;0,0;;;;
ZIZURKIL;226;3035;7446,5;1;0,4;;;;
ZUIA;254;2362;10753,6;19;7,5;;;;
ZUMAIA;749;9827;7621,9;10;1,3;;;;
ZUMARRAGA;847;9821;8624,4;24;2,8;;;;
OTROS;1044;-;-;;;;;;
