Kasu positibo berriak Euskadin (PCR+Ag testak) / Casos positivos nuevos en Euskadi (test PCRs+Ag);
Data / Fecha;Kasuak / Casos;Euskadi: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) / Euskadi: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Araba: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Álava: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Bizkaia: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Bizkaia: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Gipuzkoa: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Gipuzkoa: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;
2020/10/28;1226;607,03;408,27;499,19;847,47;;
2020/10/29;1325;629,75;415,59;523,34;875,35;;
2020/10/30;1502;659,96;452,18;555,89;897,66;;
2020/10/31;1153;678,74;450,66;568,84;933,77;;
2020/11/01;972;693,14;452,18;586,95;946,74;;
2020/11/02;1120;715,76;469,86;608,04;972,68;;
2020/11/03;1425;743,46;493,65;632,63;1007,95;;
2020/11/04;1461;763,02;510,72;649,95;1031,38;;
2020/11/05;1547;778,56;537,55;661,24;1047,83;;
2020/11/06;1444;789,25;543,96;678,39;1050,62;;
2020/11/07;1245;799,90;543,65;692,39;1060,38;;
2020/11/08;1178;810,78;544,26;704,90;1073,90;;
2020/11/09;1310;825,95;551,58;720,13;1093,28;;
2020/11/10;1401;836,79;551,27;735,53;1101,37;;
2020/11/11;1409;845,15;551,58;747,69;1106,53;;
2020/11/12;1420;849,49;550,67;751,89;1113,36;;
2020/11/13;1243;837,65;531,15;740,78;1104,58;;
2020/11/14;1043;832,63;539,08;741,83;1084,08;;
2020/11/15;801;824,81;541,82;731,94;1075,58;;
2020/11/16;941;816,63;551,88;720,48;1064,56;;
2020/11/17;1050;799,49;539,38;706,13;1040,72;;
2020/11/18;1069;781,58;534,50;689,59;1013,81;;
2020/11/19;935;753,60;514,38;665,26;978,11;;
2020/11/20;867;727,23;498,83;642,60;941,30;;
2020/11/21;641;699,63;484,80;613,90;909,37;;
2020/11/22;499;668,60;479,01;580,91;870,89;;
2020/11/23;610;636,60;472,00;550,64;826,69;;
2020/11/24;693;604,25;459,5;518,18;785,7;;
2020/11/25;666;570,29;454,62;482,74;742,06;;
2020/11/26;624;533,91;438,76;445,20;698,55;;
2020/11/27;618;505,34;418,64;422,80;657,28;;
2020/11/28;511;481,03;405,83;401,36;624,51;;
2020/11/29;435;464,30;397,30;383,78;606,39;;
2020/11/30;486;443,51;374,43;370,39;575,02;;
2020/12/01;564;421,29;368,02;352,71;538,21;;
2020/12/02;632;401,32;355,22;340,81;505,16;;
2020/12/03;519;382,31;353,39;322,96;477,00;;
2020/12/04;520;366,45;347,60;309,58;453,01;;
2020/12/05;452;357,81;356,74;304,33;431,68;;
2020/12/06;315;349,40;356,44;296,71;418,30;;
2020/12/07;369;338,39;354,61;284,03;405,75;;
2020/12/08;450;327,28;346,07;277,20;387,34;;
2020/12/09;446;317,23;342,72;272,91;366,01;;
2020/12/10;597;315,99;354,00;273,44;357,08;;
2020/12/11;636;316,82;370,77;272,30;353,88;;
2020/12/12;464;314,67;375,65;272,39;345,37;;
2020/12/13;336;310,14;383,58;267,05;336,73;;
2020/12/14;423;307,26;390,89;263,03;331,29;;
2020/12/15;582;308,09;391,81;260,75;337,98;;
2020/12/16;396;297,30;387,23;250,34;323,62;;
2020/12/17;465;294,83;379,61;249,03;321,67;;
2020/12/18;423;290,40;374,43;247,54;313,44;;
2020/12/19;300;283,45;368,02;239,31;308,70;;
2020/12/20;339;284,55;379,92;235,99;311,91;;
2020/12/21;307;281,72;373,82;236,16;306,05;;
2020/12/22;473;282,77;376,87;233,98;311,77;;
2020/12/23;427;281,90;370,77;231,18;315,26;;
2020/12/24;410;273,35;352,78;230,04;298,66;;
2020/12/25;228;254,71;326,25;214,99;278,31;;
2020/12/26;226;243,83;309,48;205,63;267,43;;
2020/12/27;298;242,09;302,77;206,15;264,50;;
2020/12/28;347;238,62;292,71;203,88;262,13;;
2020/12/29;517;234,39;285,88;201,47;255,95;;
2020/12/30;508;239,49;281,64;207,56;263,03;;
2020/12/31;490;240,62;282,85;211,57;259,14;;
2021/01/01;302;235,12;285,58;203,82;253,17;;
2021/01/02;370;238,30;289,21;206,08;256,78;;
2021/01/03;362;239,35;274,37;212,18;257,20;;
2021/01/04;480;247,21;280,73;219,75;266,36;;
2021/01/05;579;252,03;274,07;228,45;269,97;;
2021/01/06;501;255,40;272,25;238,20;265,94;;
2021/01/07;535;261,08;275,28;243,94;272,33;;
2021/01/08;658;280,63;291,33;263,96;291,76;;
2021/01/09;509;293,49;301,32;277,01;305,36;;
2021/01/10;560;305,40;306,78;291,89;315,35;;
2021/01/11;817;326,77;315,86;321,66;327,71;;
2021/01/12;735;336,68;323,73;335,06;331,87;;
2021/01/13;771;348,64;340,09;350,81;334,65;;
2021/01/14;760;360,91;345,54;365,87;345,20;;
2021/01/15;835;385,14;355,23;397,11;363,80;;
2021/01/16;676;399,05;363,10;418,09;369,35;;
2021/01/17;648;412,05;378,55;432,88;376,98;;
2021/01/18;894;430,87;393,69;459,16;385,03;;
2021/01/19;1046;452,10;408,53;486,49;397,25;;
2021/01/20;1115;480,02;439,72;515,38;420,57;;
2021/01/21;1139;507,48;470,31;546,37;441,25;;
2021/01/22;1140;529,39;504,83;570,30;453,74;;
2021/01/23;880;546,25;512,40;593,45;464,84;;
2021/01/24;826;558,35;537,84;602,50;475,53;;
2021/01/25;1101;571,26;551,77;614,34;491,08;;
2021/01/26;1104;588,03;571,46;635,14;499,40;;
2021/01/27;1273;610,85;591,75;661,42;517,87;;
2021/01/28;1264;633,77;615,37;687,70;534,24;;
2021/01/29;1090;645,36;629,90;699,36;544,93;;
2021/01/30;855;653,49;635,36;705,46;556,87;;
2021/01/31;952;667,31;653,22;715,55;574,91;;
2021/02/01;908;667,95;647,17;715,29;579,35;;
2021/02/02;1057;668,45;663,22;709,81;584,21;;
2021/02/03;1020;664,13;653,53;703,02;587,13;;
2021/02/04;921;654,22;646,56;689,09;581,85;;
2021/02/05;947;645,45;622,33;681,70;577,83;;
2021/02/06;632;634,17;623,24;662,20;573,39;;
2021/02/07;621;624,85;594,47;657,42;565,75;;
